verb,meaning,tense,pronoun,form,page
Être,be,présent,Je,suis,19
Être,be,passé composé,J',ai été,19
Être,be,imparfait,J',étais,19
Être,be,plus-que-parfait,J',avais été,19
Être,be,présent,Tu,es,19
Être,be,passé composé,Tu,as été,19
Être,be,imparfait,Tu,étais,19
Être,be,plus-que-parfait,Tu,avais été,19
Être,be,présent,Il/elle,est,19
Être,be,passé composé,Il/elle,a été,19
Être,be,imparfait,Il/elle,était,19
Être,be,plus-que-parfait,Il/elle,avait été,19
Être,be,présent,Nous,sommes,19
Être,be,passé composé,Nous,avons été,19
Être,be,imparfait,Nous,étions,19
Être,be,plus-que-parfait,Nous,avions été,19
Être,be,présent,Vous,êtes,19
Être,be,passé composé,Vous,avez été,19
Être,be,imparfait,Vous,étiez,19
Être,be,plus-que-parfait,Vous,aviez été,19
Être,be,présent,Ils/elles,sont,19
Être,be,passé composé,Ils/elles,ont été,19
Être,be,imparfait,Ils/elles,étaient,19
Être,be,plus-que-parfait,Ils/elles,avaient été,19
Être,be,futur simple,Je,serai,19
Être,be,futur antérieur,J',aurai été,19
Être,be,futur simple,Tu,seras,19
Être,be,futur antérieur,Tu,auras été,19
Être,be,futur simple,Il/elle,sera,19
Être,be,futur antérieur,Il/elle,aura été,19
Être,be,futur simple,Nous,serons,19
Être,be,futur antérieur,Nous,aurons été,19
Être,be,futur simple,Vous,serez,19
Être,be,futur antérieur,Vous,aurez été,19
Être,be,futur simple,Ils/elles,seront,19
Être,be,futur antérieur,Ils/elles,auront été,19
Être,be,conditionnel présent,Je,serais,19
Être,be,conditionnel passé,J',aurais été,19
Être,be,conditionnel présent,Tu,serais,19
Être,be,conditionnel passé,Tu,aurais été,19
Être,be,conditionnel présent,Il/elle,serait,19
Être,be,conditionnel passé,Il/elle,aurait été,19
Être,be,conditionnel présent,Nous,serions,19
Être,be,conditionnel passé,Nous,aurions été,19
Être,be,conditionnel présent,Vous,seriez,19
Être,be,conditionnel passé,Vous,auriez été,19
Être,be,conditionnel présent,Ils/elles,seraient,19
Être,be,conditionnel passé,Ils/elles,auraient été,19
Être,be,subjonctif présent,Que je,sois,19
Être,be,impératif présent,Tu,Sois,19
Être,be,subjonctif présent,Que tu,sois,19
Être,be,impératif présent,Nous,Soyons,19
Être,be,subjonctif présent,Qu'il/elle,soit,19
Être,be,impératif présent,Vous,Soyez,19
Être,be,subjonctif présent,Que nous,soyons,19
Être,be,subjonctif présent,Que vous,soyez,19
